GPU,Benchmark,Environment,Seed,Algo,Training Time,Trained Until,Best Mean Reward,Wandb Link
1,atari,BattleZoneNoFrameskip,111,PPO,1965.14,100000,16900.0,
1,atari,BattleZoneNoFrameskip,222,PPO,1925.92,100000,18100.0,
0,atari,BattleZoneNoFrameskip,333,PPO,1907.4,100000,19500.0,
1,atari,BattleZoneNoFrameskip,111,A2C,2969.98,100000,1900.0,
0,atari,BattleZoneNoFrameskip,111,RecurrentPPO,2995.25,100000,19700.0,
1,atari,BattleZoneNoFrameskip,222,TRPO,2515.31,100000,1500.0,
1,atari,BattleZoneNoFrameskip,222,A2C,2951.49,100000,1700.0,
0,atari,BattleZoneNoFrameskip,222,RecurrentPPO,2803.62,100000,18500.0,
0,atari,BattleZoneNoFrameskip,333,A2C,2886.79,100000,2800.0,
1,atari,BattleZoneNoFrameskip,444,RecurrentPPO,2815.78,100000,9100.0,
1,atari,QbertNoFrameskip,111,PPO,1626.5,100000,522.5,
1,atari,QbertNoFrameskip,111,A2C,2574.76,100000,2425.0,
0,atari,QbertNoFrameskip,111,RecurrentPPO,2620.78,100000,540.0,
1,atari,QbertNoFrameskip,222,PPO,1529.09,100000,607.5,
0,atari,QbertNoFrameskip,222,A2C,2579.56,100000,702.5,
1,atari,QbertNoFrameskip,222,TRPO,2161.41,100000,505.0,
1,atari,QbertNoFrameskip,333,PPO,1526.93,100000,807.5,
0,atari,QbertNoFrameskip,222,RecurrentPPO,2618.57,100000,387.5,
1,atari,QbertNoFrameskip,333,A2C,2534.03,100000,940.0,
0,atari,QbertNoFrameskip,333,TRPO,2282.93,100000,655.0,
0,atari,QbertNoFrameskip,444,PPO,1563.43,100000,640.0,
1,atari,QbertNoFrameskip,333,RecurrentPPO,2616.64,100000,452.5,
1,atari,QbertNoFrameskip,444,TRPO,2201.85,100000,352.5,
0,atari,QbertNoFrameskip,444,A2C,2570.09,100000,1002.5,
0,atari,AmidarNoFrameskip,111,PPO,1592.29,100000,129.8,
1,atari,QbertNoFrameskip,444,RecurrentPPO,2618.73,100000,522.5,
0,atari,AmidarNoFrameskip,111,A2C,2604.9,100000,145.5,
1,atari,AmidarNoFrameskip,111,TRPO,2209.95,100000,51.1,
1,atari,AmidarNoFrameskip,222,PPO,1556.08,100000,139.4,
0,atari,AmidarNoFrameskip,111,RecurrentPPO,2633.07,100000,65.7,
1,atari,AmidarNoFrameskip,222,A2C,2594.27,100000,119.2,
0,atari,AmidarNoFrameskip,222,TRPO,2285.32,100000,64.0,
0,atari,AmidarNoFrameskip,333,PPO,1589.65,100000,130.4,
1,atari,AmidarNoFrameskip,222,RecurrentPPO,2634.25,100000,71.4,
0,atari,AmidarNoFrameskip,333,A2C,2608.61,100000,136.1,
1,atari,AmidarNoFrameskip,333,TRPO,2195.72,100000,47.2,
1,atari,AmidarNoFrameskip,444,PPO,1557.43,100000,116.7,
0,atari,AmidarNoFrameskip,333,RecurrentPPO,2660.11,100000,59.6,
1,atari,AmidarNoFrameskip,444,A2C,2593.15,100000,144.4,
